cat_code,cat_label,cluster_id,cluster_label,question_category,question_code,question_label,question_text,scale_or_logic
C001,Abitati,C07,Difesa del suolo e rischio naturale,qualitativa,D1,Ammissibilità,"L'alternativa è realizzabile rispetto ai vincoli normativi, urbanistici e di titolarità applicabili al contesto specifico?","A: Nessun vincolo ostativo. Titolo sull'area/immobile acquisito o acquisibile senza procedure straordinarie. Conformità urbanistica verificata. Per categorie SM: accreditamento del soggetto erogatore verificato o verificabile. | M: Vincoli presenti ma superabili con procedure ordinarie già avviate o avviabili. | B: Vincoli significativi che richiedono procedure complesse o tempi incerti (variante urbanistica, espropri, accreditamento non ancora ottenuto). | N: Il fattore è trascurabile, assente o non applicabile a questa alternativa. Contributo al punteggio: zero."
C001,Abitati,C07,Difesa del suolo e rischio naturale,qualitativa,D2,Efficacia sul fabbisogno,In che misura questa alternativa risolve il fabbisogno dichiarato in termini di copertura del gap e qualità del servizio erogato?,A: Copre integralmente o quasi il gap tra domanda attuale e offerta esistente. Qualità del servizio attesa in linea con gli standard di riferimento. | M: Copre parzialmente il gap. Qualità adeguata ma con limitazioni strutturali. | B: Copertura marginale del fabbisogno o qualità significativamente inferiore agli standard. | N: Non applicabile — l'alternativa non incide direttamente sul fabbisogno dichiarato.
C001,Abitati,C07,Difesa del suolo e rischio naturale,qualitativa,D3,Sostenibilità operativa,"L'ente è in grado di sostenere i costi operativi e garantire la continuità del servizio per tutta la vita utile dell'intervento, senza dipendenza critica da fattori esterni non controllabili?",A: OPEX sostenibile entro la soglia dichiarata dall'ente. Per categorie SM: il soggetto erogatore ha solidità contrattuale e il servizio non dipende da un singolo operatore. | M: OPEX sostenibile con margine ridotto oppure dipendenza da rinnovi contrattuali periodici gestibili. | B: OPEX a rischio di insostenibilità oppure dipendenza critica da soggetto privato unico o da rinnovi incerti. | N: Non applicabile — l'alternativa non genera costi operativi ricorrenti per l'ente.
C001,Abitati,C07,Difesa del suolo e rischio naturale,qualitativa,D4,Impatto ambientale e territoriale,"Qual è l'incidenza dell'alternativa sul contesto ambientale, paesaggistico e territoriale, inclusi consumo di suolo, emissioni e impatti sulla comunità locale?","A: Impatto trascurabile o positivo. Nessun consumo di suolo aggiuntivo. Nessuna interferenza con vincoli ambientali o paesaggistici. | M: Impatto limitato e mitigabile con misure ordinarie. | B: Impatto significativo che richiede misure di mitigazione rilevanti o genera opposizione attesa dalla comunità. | N: Non applicabile — l'alternativa non interviene fisicamente sul territorio o sull'edificio (es. voucher, convenzione con privato)."
C001,Abitati,C07,Difesa del suolo e rischio naturale,qualitativa,D5-C07,Riduzione rischio,In che misura l'alternativa riduce il rischio idrogeologico per la popolazione e le infrastrutture nell'area di intervento?,"A: Elimina o riduce drasticamente il rischio in area classificata R3/R4 PAI, con beneficio su popolazione >500 abitanti. | M: Riduzione significativa del rischio in area R2/R3 o beneficio su popolazione tra 100–500 abitanti. | B: Riduzione marginale del rischio o beneficio su popolazione inferiore a 100 abitanti. | N: Il fattore è trascurabile, assente o non applicabile a questa alternativa. Contributo al punteggio: zero."
C001,Abitati,C07,Difesa del suolo e rischio naturale,qualitativa,D6-C07,Coerenza PAI/PGRA,In che misura l'alternativa è coerente con il Piano di Assetto Idrogeologico (PAI) e il Piano di Gestione del Rischio Alluvioni (PGRA) dell'Autorità di Bacino competente? Per interventi di bonifica siti: coerenza con il Piano di Caratterizzazione approvato ai sensi del D.Lgs. 152/2006.,"A: Intervento esplicitamente previsto dal PAI, dal PGRA o dal Piano di Caratterizzazione come prioritario. | M: Intervento coerente con gli obiettivi degli strumenti di pianificazione competenti ma non esplicitamente prioritario. | B: Intervento non citato negli strumenti di pianificazione di bacino o ambientale competenti. | N: Il fattore è trascurabile, assente o non applicabile a questa alternativa. Contributo al punteggio: zero."
C002,Altre Infrastrutture/Strutture Di Difesa Del Suolo,C07,Difesa del suolo e rischio naturale,qualitativa,D1,Ammissibilità,"L'alternativa è realizzabile rispetto ai vincoli normativi, urbanistici e di titolarità applicabili al contesto specifico?","A: Nessun vincolo ostativo. Titolo sull'area/immobile acquisito o acquisibile senza procedure straordinarie. Conformità urbanistica verificata. Per categorie SM: accreditamento del soggetto erogatore verificato o verificabile. | M: Vincoli presenti ma superabili con procedure ordinarie già avviate o avviabili. | B: Vincoli significativi che richiedono procedure complesse o tempi incerti (variante urbanistica, espropri, accreditamento non ancora ottenuto). | N: Il fattore è trascurabile, assente o non applicabile a questa alternativa. Contributo al punteggio: zero."
C002,Altre Infrastrutture/Strutture Di Difesa Del Suolo,C07,Difesa del suolo e rischio naturale,qualitativa,D2,Efficacia sul fabbisogno,In che misura questa alternativa risolve il fabbisogno dichiarato in termini di copertura del gap e qualità del servizio erogato?,A: Copre integralmente o quasi il gap tra domanda attuale e offerta esistente. Qualità del servizio attesa in linea con gli standard di riferimento. | M: Copre parzialmente il gap. Qualità adeguata ma con limitazioni strutturali. | B: Copertura marginale del fabbisogno o qualità significativamente inferiore agli standard. | N: Non applicabile — l'alternativa non incide direttamente sul fabbisogno dichiarato.
C002,Altre Infrastrutture/Strutture Di Difesa Del Suolo,C07,Difesa del suolo e rischio naturale,qualitativa,D3,Sostenibilità operativa,"L'ente è in grado di sostenere i costi operativi e garantire la continuità del servizio per tutta la vita utile dell'intervento, senza dipendenza critica da fattori esterni non controllabili?",A: OPEX sostenibile entro la soglia dichiarata dall'ente. Per categorie SM: il soggetto erogatore ha solidità contrattuale e il servizio non dipende da un singolo operatore. | M: OPEX sostenibile con margine ridotto oppure dipendenza da rinnovi contrattuali periodici gestibili. | B: OPEX a rischio di insostenibilità oppure dipendenza critica da soggetto privato unico o da rinnovi incerti. | N: Non applicabile — l'alternativa non genera costi operativi ricorrenti per l'ente.
C002,Altre Infrastrutture/Strutture Di Difesa Del Suolo,C07,Difesa del suolo e rischio naturale,qualitativa,D4,Impatto ambientale e territoriale,"Qual è l'incidenza dell'alternativa sul contesto ambientale, paesaggistico e territoriale, inclusi consumo di suolo, emissioni e impatti sulla comunità locale?","A: Impatto trascurabile o positivo. Nessun consumo di suolo aggiuntivo. Nessuna interferenza con vincoli ambientali o paesaggistici. | M: Impatto limitato e mitigabile con misure ordinarie. | B: Impatto significativo che richiede misure di mitigazione rilevanti o genera opposizione attesa dalla comunità. | N: Non applicabile — l'alternativa non interviene fisicamente sul territorio o sull'edificio (es. voucher, convenzione con privato)."
C002,Altre Infrastrutture/Strutture Di Difesa Del Suolo,C07,Difesa del suolo e rischio naturale,qualitativa,D5-C07,Riduzione rischio,In che misura l'alternativa riduce il rischio idrogeologico per la popolazione e le infrastrutture nell'area di intervento?,"A: Elimina o riduce drasticamente il rischio in area classificata R3/R4 PAI, con beneficio su popolazione >500 abitanti. | M: Riduzione significativa del rischio in area R2/R3 o beneficio su popolazione tra 100–500 abitanti. | B: Riduzione marginale del rischio o beneficio su popolazione inferiore a 100 abitanti. | N: Il fattore è trascurabile, assente o non applicabile a questa alternativa. Contributo al punteggio: zero."
C002,Altre Infrastrutture/Strutture Di Difesa Del Suolo,C07,Difesa del suolo e rischio naturale,qualitativa,D6-C07,Coerenza PAI/PGRA,In che misura l'alternativa è coerente con il Piano di Assetto Idrogeologico (PAI) e il Piano di Gestione del Rischio Alluvioni (PGRA) dell'Autorità di Bacino competente? Per interventi di bonifica siti: coerenza con il Piano di Caratterizzazione approvato ai sensi del D.Lgs. 152/2006.,"A: Intervento esplicitamente previsto dal PAI, dal PGRA o dal Piano di Caratterizzazione come prioritario. | M: Intervento coerente con gli obiettivi degli strumenti di pianificazione competenti ma non esplicitamente prioritario. | B: Intervento non citato negli strumenti di pianificazione di bacino o ambientale competenti. | N: Il fattore è trascurabile, assente o non applicabile a questa alternativa. Contributo al punteggio: zero."
C003,Bonifica Di Siti,C07,Difesa del suolo e rischio naturale,qualitativa,D1,Ammissibilità,"L'alternativa è realizzabile rispetto ai vincoli normativi, urbanistici e di titolarità applicabili al contesto specifico?","A: Nessun vincolo ostativo. Titolo sull'area/immobile acquisito o acquisibile senza procedure straordinarie. Conformità urbanistica verificata. Per categorie SM: accreditamento del soggetto erogatore verificato o verificabile. | M: Vincoli presenti ma superabili con procedure ordinarie già avviate o avviabili. | B: Vincoli significativi che richiedono procedure complesse o tempi incerti (variante urbanistica, espropri, accreditamento non ancora ottenuto). | N: Il fattore è trascurabile, assente o non applicabile a questa alternativa. Contributo al punteggio: zero."
C003,Bonifica Di Siti,C07,Difesa del suolo e rischio naturale,qualitativa,D2,Efficacia sul fabbisogno,In che misura questa alternativa risolve il fabbisogno dichiarato in termini di copertura del gap e qualità del servizio erogato?,A: Copre integralmente o quasi il gap tra domanda attuale e offerta esistente. Qualità del servizio attesa in linea con gli standard di riferimento. | M: Copre parzialmente il gap. Qualità adeguata ma con limitazioni strutturali. | B: Copertura marginale del fabbisogno o qualità significativamente inferiore agli standard. | N: Non applicabile — l'alternativa non incide direttamente sul fabbisogno dichiarato.
C003,Bonifica Di Siti,C07,Difesa del suolo e rischio naturale,qualitativa,D3,Sostenibilità operativa,"L'ente è in grado di sostenere i costi operativi e garantire la continuità del servizio per tutta la vita utile dell'intervento, senza dipendenza critica da fattori esterni non controllabili?",A: OPEX sostenibile entro la soglia dichiarata dall'ente. Per categorie SM: il soggetto erogatore ha solidità contrattuale e il servizio non dipende da un singolo operatore. | M: OPEX sostenibile con margine ridotto oppure dipendenza da rinnovi contrattuali periodici gestibili. | B: OPEX a rischio di insostenibilità oppure dipendenza critica da soggetto privato unico o da rinnovi incerti. | N: Non applicabile — l'alternativa non genera costi operativi ricorrenti per l'ente.
C003,Bonifica Di Siti,C07,Difesa del suolo e rischio naturale,qualitativa,D4,Impatto ambientale e territoriale,"Qual è l'incidenza dell'alternativa sul contesto ambientale, paesaggistico e territoriale, inclusi consumo di suolo, emissioni e impatti sulla comunità locale?","A: Impatto trascurabile o positivo. Nessun consumo di suolo aggiuntivo. Nessuna interferenza con vincoli ambientali o paesaggistici. | M: Impatto limitato e mitigabile con misure ordinarie. | B: Impatto significativo che richiede misure di mitigazione rilevanti o genera opposizione attesa dalla comunità. | N: Non applicabile — l'alternativa non interviene fisicamente sul territorio o sull'edificio (es. voucher, convenzione con privato)."
